call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
1,2025-11-30_20-54-34,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,88796
2,2025-11-30_20-54-42,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,88408
1,2025-11-30_20-54-56,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,88796
2,2025-11-30_20-55-05,phase1_cluster_1,phase1_cluster_1_call00002,phase1_cluster_1_call00002_prompt.txt,phase1_cluster_1_call00002_waveform_overlay.png;phase1_cluster_1_call00002_isi_histogram.png;phase1_cluster_1_call00002_aggregation_tree.png,1,1,88408
3,2025-11-30_20-55-19,phase1_cluster_1,phase1_cluster_1_call00003,phase1_cluster_1_call00003_prompt.txt,phase1_cluster_1_call00003_waveform_overlay.png;phase1_cluster_1_call00003_isi_histogram.png;phase1_cluster_1_call00003_aggregation_tree.png,1,1,88285
4,2025-11-30_20-55-30,phase1_cluster_1,phase1_cluster_1_call00004,phase1_cluster_1_call00004_prompt.txt,phase1_cluster_1_call00004_waveform_overlay.png;phase1_cluster_1_call00004_isi_histogram.png;phase1_cluster_1_call00004_aggregation_tree.png,1,1,88152
5,2025-11-30_20-55-43,phase1_cluster_239,phase1_cluster_239_call00005,phase1_cluster_239_call00005_prompt.txt,phase1_cluster_239_call00005_waveform_overlay.png;phase1_cluster_239_call00005_isi_histogram.png;phase1_cluster_239_call00005_aggregation_tree.png,1,239,133
6,2025-11-30_20-55-46,phase1_cluster_253,phase1_cluster_253_call00006,phase1_cluster_253_call00006_prompt.txt,phase1_cluster_253_call00006_waveform_overlay.png;phase1_cluster_253_call00006_isi_histogram.png;phase1_cluster_253_call00006_aggregation_tree.png,1,253,123
7,2025-11-30_20-55-53,phase1_cluster_219,phase1_cluster_219_call00007,phase1_cluster_219_call00007_prompt.txt,phase1_cluster_219_call00007_waveform_overlay.png;phase1_cluster_219_call00007_isi_histogram.png;phase1_cluster_219_call00007_aggregation_tree.png,1,219,388
8,2025-11-30_20-55-57,phase1_cluster_218,phase1_cluster_218_call00008,phase1_cluster_218_call00008_prompt.txt,phase1_cluster_218_call00008_waveform_overlay.png;phase1_cluster_218_call00008_isi_histogram.png;phase1_cluster_218_call00008_aggregation_tree.png,1,218,658
9,2025-11-30_20-56-03,phase1_cluster_222,phase1_cluster_222_call00009,phase1_cluster_222_call00009_prompt.txt,phase1_cluster_222_call00009_waveform_overlay.png;phase1_cluster_222_call00009_isi_histogram.png;phase1_cluster_222_call00009_aggregation_tree.png,1,222,2889
10,2025-11-30_20-56-09,phase1_cluster_222,phase1_cluster_222_call00010,phase1_cluster_222_call00010_prompt.txt,phase1_cluster_222_call00010_waveform_overlay.png;phase1_cluster_222_call00010_isi_histogram.png;phase1_cluster_222_call00010_aggregation_tree.png,1,222,2653
11,2025-11-30_20-56-23,phase1_cluster_304,phase1_cluster_304_call00011,phase1_cluster_304_call00011_prompt.txt,phase1_cluster_304_call00011_waveform_overlay.png;phase1_cluster_304_call00011_isi_histogram.png;phase1_cluster_304_call00011_aggregation_tree.png,1,304,236
1,2025-11-30_21-00-46,phase1_cluster_1,phase1_cluster_1_call00001,phase1_cluster_1_call00001_prompt.txt,phase1_cluster_1_call00001_waveform_overlay.png;phase1_cluster_1_call00001_isi_histogram.png;phase1_cluster_1_call00001_aggregation_tree.png,1,1,88796
