method,channel,overall_f1_score,overall_precision,overall_recall,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr
"GPT-5.1
(with metrics)",CH3,0.7507921257589075,0.6010145639011618,1.0,5.185940917284862,0.0173204471059475,1.0,0.1891504050894454,6.4683803425523525
"GPT-5.1
(with metrics)",CH20,0.8950774376499673,0.8100816004211635,1.0,3.067583972756129,0.0059228710569034,1.0,0.1617828065570484,5.920425571816857
"GPT-5.1
(with metrics)",CH30,0.7161619435480463,1.0,0.5578288787662588,4.903798475873072,0.0003345139708776,1.0,0.2103106211111707,12.333618069184402
"GPT-5.1
(with metrics)",CH31,0.7061952525756818,0.6501370504078086,0.7728329326684282,10.15508983822632,0.004271337753035,1.0,0.1683395914795761,9.53557526771558
"GPT-5.1
(no metrics)",CH3,0.6530002666903725,0.4847812887727357,1.0,6.429344718954929,0.0334320844764481,1.0,0.2350390434828559,4.937429655144997
"GPT-5.1
(no metrics)",CH20,0.5663764530504147,0.4004529960531037,0.9670728405090712,6.001127687687168,0.030320019734924,1.0,0.1530130886547871,4.9057230597122965
"GPT-5.1
(no metrics)",CH30,0.7050344741478575,0.9577844367803094,0.5578288787662588,5.119939610167077,0.0013004146249528,1.0,0.2162104804349644,8.640360620447387
"GPT-5.1
(no metrics)",CH31,0.7250715304248954,0.6828698827329541,0.7728329326684282,9.668313570409214,0.0005565858785082,1.0,0.127320459378391,10.118798786851956
"GPT-4.1
(non-reasoning)",CH3,0.3741265152286849,0.2301080119289276,1.0,5.418022593288637,0.0262767027422429,1.0,0.2622398766963378,5.139825234522005
"GPT-4.1
(non-reasoning)",CH20,0.5340890397643153,0.3689157920832989,0.9670728405090712,2.171380401528,0.0122124783008789,1.0,0.1493011106539415,5.572974955950245
"GPT-4.1
(non-reasoning)",CH30,0.7161619435480463,1.0,0.5578288787662588,4.903798475873072,0.0003345139708776,1.0,0.2103106211111707,12.333618069184402
"GPT-4.1
(non-reasoning)",CH31,0.7201559758237475,0.592756637395368,0.917310710666958,6.610177310461999,0.00376808686935,1.0,0.1394359345336297,8.340359696799474
