method,channel,overall_f1_score,overall_precision,overall_recall,mean_firing_rate,mean_isi_violations,mean_presence_ratio,mean_amplitude_cv,mean_snr
Hierarchical,CH3,0.243950792105496,0.1456470737429459,0.7504900893051623,1.205670586656787,0.0097883889858663,0.04,0.156232079262202,8.54853429123097
Hierarchical,CH20,0.3597241433052152,0.2193071012031307,1.0,0.9270781386471784,0.0133834962418142,0.0833333333333333,0.1653472648532507,8.070724303297618
Hierarchical,CH30,0.3060711568170813,0.1855106761109933,0.8742000987871138,1.782263769865991,0.0144276576837612,0.0555555555555555,0.1823130882377689,7.633097145109507
Hierarchical,CH31,0.5047665901388434,0.3481792062259157,0.917310710666958,1.3947543812874257,0.0102287876452818,0.0588235294117647,0.1643223696128699,8.281663968908367
Baseline-VLM,CH3,0.2687,0.1552,1.0,30.141764666419675,0.2445295343206261,1.0,0.3093022402897614,3.166261661964796
Baseline-VLM,CH20,0.3652,0.2234,1.0,11.12493766376614,0.1605414690796477,1.0,0.2593758109824915,3.4364122769801675
Baseline-VLM,CH30,0.3169,0.1883,1.0,10.202319873671682,0.1160021238514172,0.9913294797687862,0.2399548961725365,6.036435847109476
Baseline-VLM,CH31,0.5338,0.3641,1.0,14.349150540901556,0.0583962258302712,1.0,0.1803368938628915,7.821057283317735
GPT-5.1,CH3,0.7507921257589075,0.6010145639011618,1.0,5.185940917284862,0.0173204471059475,1.0,0.1891504050894454,6.4683803425523525
GPT-5.1,CH20,0.8950774376499673,0.8100816004211635,1.0,3.067583972756129,0.0059228710569034,1.0,0.1617828065570484,5.920425571816857
GPT-5.1,CH30,0.7161619435480463,1.0,0.5578288787662588,4.903798475873072,0.0003345139708776,1.0,0.2103106211111707,12.333618069184402
GPT-5.1,CH31,0.7061952525756818,0.6501370504078086,0.7728329326684282,10.15508983822632,0.004271337753035,1.0,0.1683395914795761,9.53557526771558
