method,channel,overall_f1_score,overall_precision,overall_recall,mean_firing_rate,mean_isi_violation,mean_presence_ratio,mean_amplitude_cv,mean_snr
baseline,CH20,0.35972414330521524,0.21930710120313077,1.0,,,,,
baseline,CH3,0.24395079210549606,0.14564707374294592,0.7504900893051623,,,,,
baseline,CH30,0.3060711568170813,0.18551067611099337,0.8742000987871138,,,,,
baseline,CH31,0.5047665901388434,0.3481792062259157,0.917310710666958,,,,,
gpt-4.1,CH20,0.5340890397643153,0.3689157920832989,0.9670728405090712,,,,,
gpt-4.1,CH3,0.37412651522868495,0.23010801192892766,1.0,,,,,
gpt-4.1,CH30,0.7161619435480463,1.0,0.5578288787662588,,,,,
gpt-4.1,CH31,0.7201559758237475,0.592756637395368,0.917310710666958,,,,,
gpt-5.1,CH20,0.8950774376499673,0.8100816004211635,1.0,,,,,
gpt-5.1,CH3,0.7507921257589075,0.6010145639011618,1.0,,,,,
gpt-5.1,CH30,0.7161619435480463,1.0,0.5578288787662588,,,,,
gpt-5.1,CH31,0.7061952525756818,0.6501370504078086,0.7728329326684282,,,,,
ablation,CH20,0.5663764530504147,0.4004529960531037,0.9670728405090712,,,,,
ablation,CH3,0.6530002666903725,0.4847812887727357,1.0,,,,,
ablation,CH30,0.7050344741478575,0.9577844367803094,0.5578288787662588,,,,,
ablation,CH31,0.7250715304248954,0.6828698827329541,0.7728329326684282,,,,,
